31-03-2026 19:33:27 | POST | cafeteria-api/produtos
31-03-2026 19:33:27 | GET | cafeteria-api/produtos
31-03-2026 19:33:27 | POST | cafeteria-api/produtos
31-03-2026 19:33:27 | GET | cafeteria-api/produtos
31-03-2026 19:33:27 | POST | cafeteria-api/produtos
31-03-2026 19:33:27 | GET | cafeteria-api/produtos
31-03-2026 19:33:30 | POST | cafeteria-api/produtos
31-03-2026 19:33:30 | GET | cafeteria-api/produtos
31-03-2026 19:33:32 | OPTIONS | cafeteria-api/produtos/40
31-03-2026 19:33:32 | DELETE | cafeteria-api/produtos/40
31-03-2026 19:33:32 | GET | cafeteria-api/produtos
31-03-2026 19:33:33 | DELETE | cafeteria-api/produtos/40
31-03-2026 19:33:33 | GET | cafeteria-api/produtos
31-03-2026 19:33:33 | DELETE | cafeteria-api/produtos/40
31-03-2026 19:33:33 | GET | cafeteria-api/produtos
31-03-2026 19:33:33 | DELETE | cafeteria-api/produtos/40
31-03-2026 19:33:33 | GET | cafeteria-api/produtos
31-03-2026 19:34:39 | GET | cafeteria-api/produtos
31-03-2026 19:34:41 | GET | cafeteria-api/produtos
31-03-2026 19:34:43 | GET | cafeteria-api/produtos
31-03-2026 19:34:49 | GET | cafeteria-api/produtos
31-03-2026 19:34:50 | GET | cafeteria-api/produtos
31-03-2026 19:35:12 | GET | cafeteria-api/produtos
31-03-2026 19:36:36 | GET | cafeteria-api/produtos
31-03-2026 19:36:42 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:36:42 | POST | cafeteria-api/produtos
31-03-2026 19:36:42 | GET | cafeteria-api/produtos
31-03-2026 19:36:57 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:36:57 | POST | cafeteria-api/produtos
31-03-2026 19:36:57 | GET | cafeteria-api/produtos
31-03-2026 19:37:57 | GET | cafeteria-api/produtos
31-03-2026 19:38:00 | GET | cafeteria-api/produtos
31-03-2026 19:38:02 | GET | cafeteria-api/produtos
31-03-2026 19:38:05 | GET | cafeteria-api/produtos
31-03-2026 19:38:09 | GET | cafeteria-api/produtos
31-03-2026 19:38:13 | GET | cafeteria-api/produtos
31-03-2026 19:38:32 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:38:32 | POST | cafeteria-api/produtos
31-03-2026 19:38:32 | GET | cafeteria-api/produtos
31-03-2026 19:39:27 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:39:27 | POST | cafeteria-api/produtos
31-03-2026 19:39:27 | GET | cafeteria-api/produtos
31-03-2026 19:39:41 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:39:41 | POST | cafeteria-api/produtos
31-03-2026 19:39:41 | GET | cafeteria-api/produtos
31-03-2026 19:41:36 | GET | cafeteria-api/produtos
31-03-2026 19:41:43 | GET | cafeteria-api/produtos
31-03-2026 19:41:48 | GET | cafeteria-api/produtos
31-03-2026 19:41:54 | GET | cafeteria-api/produtos
31-03-2026 19:44:51 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:44:51 | POST | cafeteria-api/produtos
31-03-2026 19:44:51 | GET | cafeteria-api/produtos
31-03-2026 19:44:55 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:44:55 | DELETE | cafeteria-api/produtos
31-03-2026 19:44:55 | GET | cafeteria-api/produtos
31-03-2026 19:44:57 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:44:57 | DELETE | cafeteria-api/produtos
31-03-2026 19:44:57 | GET | cafeteria-api/produtos
31-03-2026 19:44:57 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:44:57 | DELETE | cafeteria-api/produtos
31-03-2026 19:44:57 | GET | cafeteria-api/produtos
31-03-2026 19:44:58 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:44:58 | DELETE | cafeteria-api/produtos
31-03-2026 19:44:58 | GET | cafeteria-api/produtos
31-03-2026 19:44:59 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:44:59 | DELETE | cafeteria-api/produtos
31-03-2026 19:44:59 | GET | cafeteria-api/produtos
